臺北市專為高齡者開辦的課程或活動有哪些?可否有網站資料直接查詢?,臺北市政府教育局終身教育科
如何查詢藝文推廣處城市舞台檔期?,臺北市藝文推廣處
個案若安置於機構，是否能使用失能身心障礙日間照顧中心服務?,臺北市政府社會局身心障礙者福利科
申請低收入戶18歲以上就學生活補助洽辦單位、應備文件、補助資格及補助內容?,臺北市政府社會局社會救助科
如何查詢訴願案件辦理進度?,臺北市政府法務局
騎車時，若遇到車輛爆胎等故障情形，該怎麼辦?,臺北市政府交通局
有關私立高中學雜費補助，孩子與爺爺同住，父母和孩子不同戶籍，請問這樣就不能申請私立高中學雜費補助?,臺北市政府教育局中等教育科
什麼是茲卡病毒感染症?,臺北市政府衛生局疾病管制科
請問如何成為衛生保健志工?,臺北市政府衛生局健康管理科
公務人員能否擔任公司股東或公司之董事或監察人,臺北市商業處
重型機車(紅牌、黃牌)可以停放汽車停車格嗎?,臺北市停車管理工程處
106年度臺北市各有線電視業者收視費用是多少?,臺北市政府觀光傳播局
是否有暑期工讀機會?每年何時辦理?,臺北市就業服務處
本處稽查人員執法不公、選擇性開單?,臺北市停車管理工程處
本人或家人持有身心障礙手冊或證明，如何辦理使用牌照稅免稅優惠?,臺北市稅捐稽徵處機會稅科
契稅如何計算?,臺北市稅捐稽徵處財產稅科
●軍人權益：「收到教育召集令如何請假?」,臺北市政府兵役局
什麼是新一代學生悠遊卡?,臺北市公共運輸處綜合規劃科
是否可以自行製作環保兩用袋?,臺北市政府環境保護局資源循環管理科
小型車後座繫安全帶法令介紹,臺北市政府交通局